CIDs,H_bond_donor,H_bond_acceptor,MWt,LogP,Metabolic_activity,QED
CIDs00001176,2,1,60.05599999999999,-0.9762,both,0.3705073514035382
CIDs00002879,1,1,108.14,1.7006199999999996,both,0.5359354364287862
CIDs00003776,1,1,60.096,0.3871000000000001,production,0.4284047940316283
CIDs00004055,0,2,172.18299999999996,2.0119,both,0.5994834910884169
CIDs00005281,1,1,284.48399999999987,6.3325000000000085,both,0.3360419785922725
CIDs00005610,2,2,137.18200000000002,0.8933999999999995,both,0.6356000391866201
CIDs00005780,6,6,182.172,-3.585399999999998,consumption,0.2612626527203185
CIDs00005789,3,6,242.231,-1.5142799999999992,consumption,0.5842742137821719
CIDs00005793,5,6,180.156,-3.2213999999999987,consumption,0.290152854529958
CIDs00005862,3,3,121.161,-0.6719,consumption,0.4243815022421898
CIDs00005950,2,2,89.09400000000002,-0.5817999999999999,both,0.4513521877377077
CIDs00005951,3,3,105.093,-1.6093999999999995,consumption,0.3942403492047702
CIDs00005960,3,3,133.10299999999998,-1.1269999999999998,both,0.4520212550353777
CIDs00005961,3,3,146.14600000000004,-1.336199999999999,both,0.4560917735982506
CIDs00005962,3,3,146.19,-0.4726999999999987,both,0.4571771584965571
CIDs00005988,8,11,342.297,-5.395599999999996,consumption,0.2378914345193498
CIDs00006029,4,7,244.203,-2.8518999999999983,consumption,0.4435105912731593
CIDs00006036,5,6,180.156,-3.2213999999999987,consumption,0.290152854529958
CIDs00006037,6,9,441.40400000000017,-0.0447999999999986,both,0.2588540145061838
CIDs00006057,3,3,181.191,0.3465999999999994,consumption,0.6277204469356521
CIDs00006106,2,2,131.17499999999995,0.4444,both,0.5839472301812021
CIDs00006134,8,11,342.297,-5.397199999999994,consumption,0.2432584676077655
CIDs00006137,2,3,149.215,0.1514,both,0.596996208092774
CIDs00006140,2,2,165.19199999999995,0.6409999999999999,consumption,0.6904627990029388
CIDs00006251,6,6,182.172,-3.585399999999998,both,0.2612626527203185
CIDs00006255,8,11,342.297,-5.397199999999994,consumption,0.2432584676077655
CIDs00006262,3,3,132.16299999999998,-0.8627999999999987,consumption,0.4638861120098108
CIDs00006267,3,3,132.11899999999997,-1.7262999999999993,consumption,0.4239394773771117
CIDs00006274,3,3,155.15699999999995,-0.6358999999999995,both,0.5411944991131042
CIDs00006276,1,1,88.14999999999998,1.1689,both,0.513281356352027
CIDs00006287,2,2,117.148,0.0543,consumption,0.5369765717084767
CIDs00006288,3,3,119.12,-1.2208999999999997,both,0.4250956026269513
CIDs00006305,3,2,204.229,1.1222999999999996,both,0.7005840997557369
CIDs00006306,2,2,131.17499999999995,0.4444,consumption,0.5839472301812021
CIDs00006322,4,3,174.20399999999995,-1.5480999999999991,both,0.2277831035127547
CIDs00006590,1,1,88.10599999999998,0.727,both,0.5126040106471911
CIDs00006613,4,4,219.237,-1.0432999999999986,both,0.4560957521485702
CIDs00006912,5,5,152.14600000000004,-2.9462999999999995,consumption,0.2963895134660185
CIDs00007427,8,11,342.297,-5.397199999999994,consumption,0.2432584676077655
CIDs00007866,2,3,126.13299999999995,-1.1334999999999995,consumption,0.4587976814807516
CIDs00007991,1,1,102.13299999999998,1.2612,both,0.5820724024360081
CIDs00008007,1,1,73.139,0.7452000000000001,production,0.5124148721749513
CIDs00008314,0,2,101.125,-0.2176,consumption,0.4822177284874587
CIDs00008892,0,2,115.152,0.3166,production,0.4947681371302238
CIDs00009903,2,2,376.5810000000001,5.507100000000007,production,0.6802315567711569
CIDs00010133,3,3,392.58000000000015,4.477900000000006,both,0.659162096020487
CIDs00010140,5,5,465.63100000000026,2.564900000000001,consumption,0.4102900871309047
CIDs00010430,0,2,101.125,-0.2176,both,0.4822177284874587
CIDs00010442,2,2,76.095,-0.6389,both,0.4590493065582775
CIDs00010712,8,11,342.297,-5.397199999999994,consumption,0.2432584676077655
CIDs00011458,8,11,342.297,-5.397199999999994,consumption,0.2432584676077655
CIDs00011850,6,6,182.172,-3.585399999999998,consumption,0.2612626527203185
CIDs00012544,4,4,449.6320000000002,3.594100000000002,consumption,0.4957056864347
CIDs00012647,3,3,119.12,-1.2192999999999998,consumption,0.4345385252504353
CIDs00017106,4,5,164.157,-2.1938,consumption,0.3262157812888973
CIDs00018950,5,6,180.156,-3.2213999999999987,consumption,0.290152854529958
CIDs00019499,0,2,85.08200000000002,-0.6876,consumption,0.3953421010650316
CIDs00024139,5,6,221.209,-3.077599999999998,consumption,0.3372388950642307
CIDs00024154,5,6,179.172,-3.254999999999998,consumption,0.2884398980046361
CIDs00024766,8,13,463.3700000000002,-5.376499999999993,consumption,0.1709378942737592
CIDs00025310,4,5,164.157,-2.1938,consumption,0.3262157812888973
CIDs00033032,3,3,147.13,-0.736899999999999,both,0.485975530954351
CIDs00035717,5,6,221.209,-3.077599999999998,consumption,0.3372388950642307
CIDs00094715,5,6,194.139,-3.1290999999999984,consumption,0.2983577255502749
CIDs00115245,3,3,433.63300000000015,4.623300000000004,consumption,0.5702119010261512
CIDs00145742,2,2,115.132,-0.1770000000000003,consumption,0.4982089208893278
CIDs00221493,4,4,408.5790000000002,3.4487000000000028,both,0.5711364561316479
CIDs00222285,4,4,122.11999999999996,-2.3072,consumption,0.3389334185070439
CIDs00222528,3,3,392.58000000000015,4.477900000000006,production,0.659162096020487
CIDs00225936,2,2,90.122,-0.252,both,0.4657441488290313
CIDs00387316,4,5,499.7140000000003,3.3973000000000018,consumption,0.398161662848806
CIDs00439174,5,6,221.209,-3.077599999999998,consumption,0.3372388950642307
CIDs00439192,5,6,180.156,-3.219799999999999,consumption,0.2901781933520807
CIDs00439193,8,11,342.297,-5.397199999999994,consumption,0.2432584676077655
CIDs00439195,4,5,150.13,-2.5823,consumption,0.3042503204978373
CIDs00439197,7,8,309.271,-3.871799999999998,consumption,0.2675035671164337
CIDs00439213,5,6,179.172,-3.254999999999998,consumption,0.2884398980046361
CIDs00439215,5,6,194.139,-3.1290999999999984,consumption,0.2983577255502749
CIDs00439255,5,5,152.14600000000004,-2.9462999999999995,consumption,0.2963895134660185
CIDs00439281,5,6,221.209,-3.077599999999998,consumption,0.3372388950642307
CIDs00439343,5,6,194.139,-3.1274999999999986,consumption,0.314229697072217
CIDs00439763,3,4,483.7150000000004,4.4265000000000025,consumption,0.4649636730852002
